City,Country,Country ID,Longitude,Latitude,Temperature Max,Humidity,Cloudiness,Windspeed
Payyannur,IN,1259994,75.2,12.1,30.2,95,0,2.32
Ambilobe,MG,1082243,49.05,-13.19,26.7,99,8,1.82
Sitka,US,4267710,-99.65,37.17,11.11,83,20,0.45
San Quintin,PH,1688687,120.52,17.54,27.55,74,20,1.52
Vilyuysk,RU,2013392,121.63,63.75,3.8,62,32,1.72
Abalak,NE,2448245,6.28,15.46,21.3,39,0,2.62
Maralal,KE,187725,36.7,1.1,21.35,81,8,1.62
Shache,CN,1280037,77.24,38.42,19.75,31,0,3.42
Takoradi,GH,2294915,-1.75,4.89,27.3,100,8,3.47
Port Macquarie,AU,2152659,152.91,-31.43,25.0,49,90,5.1
Priargunsk,RU,2017646,119.09,50.37,2.0,50,88,9.07
Lingao,CN,1803560,109.69,19.91,29.55,69,76,3.82
Lorengau,PG,2092164,147.27,-2.02,28.15,100,80,3.32
Senanga,ZM,898947,23.3,-16.1,22.2,49,0,5.02
Sigli,ID,1213821,95.96,5.38,28.65,95,56,2.77
Chase,US,5006946,-85.64,43.89,1.0,70,1,1.07
Valparaiso,US,4927537,-87.06,41.47,10.0,81,75,1.07
Port Hardy,CA,6111862,-127.42,50.7,7.0,93,75,1.0
Pizarro,CO,3672086,-77.37,4.95,25.1,95,64,1.52
Sibi,PK,1164896,67.88,29.55,33.15,38,0,1.97
Sinamar,PH,1686290,121.57,16.9,27.6,77,76,2.57
Bathsheba,BB,3374083,-59.52,13.22,25.0,78,40,9.3
Mirnyy,RU,502265,36.46,56.57,1.65,72,24,2.52
Davila,PH,1715335,120.58,18.47,31.0,66,40,4.1
Austin,US,4671654,-97.74,30.27,18.89,100,90,4.6
Crotone,IT,2524881,17.12,39.09,14.55,99,44,7.87
Dongsheng,CN,1788268,112.52,29.72,18.9,86,44,2.07
Lumphat,KH,1830377,106.97,13.5,26.15,82,92,1.22
Coquimbo,CL,3893629,-71.34,-29.95,15.0,82,0,3.6
Santa Ana,SV,3583334,-89.56,13.99,26.0,61,0,2.1
Rawson,AR,3839307,-65.11,-43.3,12.9,47,0,6.82
Nesebar,BG,728825,27.74,42.66,6.11,69,0,0.5
Nouadhibou,MR,2377457,-17.03,20.93,18.0,77,92,3.1
Lata,IN,1253628,78.62,30.78,16.8,78,12,0.17
Homewood,US,4896353,-87.67,41.56,10.0,70,90,1.22
Slave Lake,CA,6149374,-114.77,55.28,0.0,82,90,4.1
Chiredzi,ZW,893485,31.67,-21.05,22.7,85,24,2.02
Sokolo,ML,2450849,-6.12,14.74,25.75,51,0,4.22
Kupang,ID,2057087,123.6,-10.16,32.0,70,75,3.6
Menongue,AO,3347353,17.68,-14.66,22.05,43,12,2.12
Maningrida,AU,2067089,134.23,-12.05,27.25,100,12,9.17
Pisco,PE,3932145,-76.2,-13.71,21.0,88,0,6.7
Porto Torres,IT,3170069,8.4,40.84,10.0,100,20,1.5
Sao Joao da Barra,BR,3448903,-41.05,-21.64,24.85,100,44,5.47
Seoul,KR,1835848,126.98,37.57,17.0,25,1,2.1
Veraval,FR,3031871,0.71,49.65,0.56,92,0,2.6
Orange Cove,US,5379533,-119.31,36.62,18.0,77,1,2.6
Esmeraldas,BR,3464008,-44.31,-19.76,21.0,106,0,1.0
Lebedyn,UA,613273,34.48,50.58,1.8,74,0,2.97
Gorontalo,ID,1643837,123.06,0.54,27.2,81,64,1.07
Harsin,IR,131962,47.59,34.27,9.0,81,40,5.1
Rehoboth,NA,3353540,17.08,-23.31,11.55,77,0,1.27
Zhezkazgan,KZ,1516589,67.71,47.8,12.0,76,75,4.0
Fredericksburg,US,4692279,-98.87,30.28,18.89,93,90,4.1
Matagami,NG,2335713,8.4,9.67,22.3,25,0,4.02
Sawakin,SD,367544,37.33,19.1,22.0,53,0,4.1
Sungairaya,ID,1625908,108.9,0.7,28.0,97,56,1.97
Kosh-Agach,RU,1502422,88.66,49.99,9.05,41,12,5.02
Tezu,IN,1254709,96.16,27.93,17.85,67,8,0.47
Biak,ID,1637001,122.88,-0.91,30.1,79,68,1.27
Nortelandia,BR,3456248,-56.8,-14.45,22.2,95,24,1.32
Ola,RU,2122574,151.3,59.58,2.1,83,80,7.32
Arawa,NG,2338403,3.9,7.05,24.15,92,0,1.12
Fethiye,TR,314967,29.12,36.62,12.22,100,75,1.17
Gushikawa,JP,1863495,127.87,26.35,24.0,46,75,5.1
Mayo,CA,6068416,-135.9,63.59,-9.0,31,5,6.2
Salinas,US,5391295,-121.66,36.67,14.0,93,90,1.52
Phangnga,TH,1151464,98.53,8.45,35.0,44,20,2.1
Palmer,AU,2067070,139.16,-34.85,32.22,16,0,4.1
Padang,ID,1633419,100.36,-0.92,31.0,70,40,2.1
Hofn,IS,2630299,-15.21,64.25,0.7,100,12,0.92
Zhigansk,RU,2012530,123.37,66.77,1.15,70,32,1.47
Scottsbluff,US,5699404,-103.67,41.87,6.11,87,90,3.6
Kuryk,KZ,609919,51.68,43.18,9.2,100,12,2.42
Halifax,CA,6324729,-63.58,44.65,3.89,83,20,10.8
Adrar,DZ,2508813,-0.29,27.87,23.0,46,90,13.4
Sauce,UY,3440379,-56.06,-34.65,17.22,87,0,3.1
Boguchany,RU,1509844,97.46,58.38,0.95,41,36,2.87
Svrljig,RS,785164,22.12,43.41,9.0,42,0,7.7
Kieta,PG,2094027,155.63,-6.22,26.7,100,88,1.87
Inta,RU,1505579,60.13,66.04,2.2,79,88,2.52
Channel-Port aux Basques,CA,5919815,-59.14,47.57,-0.01,86,8,23.32
Belyy Yar,RU,1510377,91.39,53.6,4.0,25,0,5.0
Nizhniy Kuranakh,RU,2019135,125.49,58.84,2.8,62,48,1.57
Atar,MR,2381334,-13.05,20.52,14.9,84,80,2.82
Karratha,AU,6620339,116.85,-20.74,38.8,19,0,1.82
Jaisalmer,IN,1269507,70.91,26.91,38.15,27,0,3.57
Linqiong,CN,1803365,103.46,30.42,17.0,77,40,2.0
Sumbe,AO,3346015,13.84,-11.2,26.65,100,0,0.72
Phonhong,LA,1655124,102.42,18.5,32.0,55,20,2.1
Nyurba,RU,2018735,118.35,63.29,4.0,51,56,1.67
Along,IN,1278969,94.8,28.17,20.65,61,8,0.92
Beloha,MG,1067565,45.06,-25.17,27.75,60,0,3.37
Kawalu,ID,1640902,108.21,-7.38,26.15,72,24,1.32
Misratah,LY,2214846,15.09,32.38,15.3,86,24,6.27
Hami,CN,1529484,93.51,42.84,23.45,37,0,2.07
Ashland,US,4282757,-82.64,38.48,11.0,75,20,1.02
Yinchuan,CN,1786657,106.21,38.48,22.22,5,8,2.24
Kindu,CD,212902,25.92,-2.95,25.65,84,20,1.27
Haines Junction,CA,5969025,-137.51,60.75,-7.51,65,88,1.12
Hvide Sande,DK,2619537,8.13,56.01,6.67,93,32,1.5
San Fernando,TT,3573739,-61.46,10.28,24.44,88,20,3.1
Prince Rupert,CA,6113406,-130.32,54.32,8.0,70,1,4.6
Ambon,FR,3037899,-2.56,47.55,6.67,83,0,2.1
Ulaangom,MN,1515029,92.07,49.98,9.7,56,64,2.12
Espanola,CA,5949493,-81.77,46.27,-4.44,66,0,2.68
Mankono,CI,2284589,-6.19,8.06,22.4,92,0,1.72
Praia,BR,3460954,-43.81,-20.25,21.0,83,0,1.5
Road Town,VG,3577430,-64.62,18.42,25.56,78,1,3.1
Billings,US,5640350,-108.5,45.79,13.0,47,75,4.1
Saint-Pierre,FR,2995603,4.24,48.95,4.0,93,75,3.1
Djambala,CG,2260401,14.76,-2.55,22.55,90,48,3.82
Bull Savanna,JM,3491161,-77.59,17.89,22.55,81,24,2.62
San Pedro,AR,3428576,-59.66,-33.68,16.4,88,0,1.32
Nioro,GM,2413070,-15.05,13.79,24.3,51,100,6.12
Zeya,RU,2012593,127.27,53.74,3.2,41,44,2.12
Ust-Nera,RU,2120048,143.24,64.57,-3.76,71,0,1.17
Chisec,GT,3598415,-90.29,15.81,19.9,93,100,0.87
Eureka,US,5563397,-124.16,40.8,12.22,93,90,1.5
Westport,IE,2960970,-9.52,53.8,3.89,89,56,6.02
Taoudenni,ML,2450173,-3.98,22.68,23.25,48,0,6.02
Arman,RU,2127060,150.17,59.7,1.3,71,64,4.62
Rocha,UY,3440777,-54.34,-34.48,14.4,94,0,3.02
Tazovskiy,RU,1489853,78.7,67.47,-5.76,94,44,4.47
Anuradhapura,LK,1251081,80.41,8.34,34.4,50,0,0.52
Yaan,NG,2338660,8.57,7.38,27.15,75,0,5.72
Marystown,CA,6067472,-55.16,47.17,5.0,100,88,6.71
Mehamn,NO,778707,27.85,71.03,0.0,92,75,2.1
Boyuibe,BO,3923015,-63.28,-20.43,19.7,91,0,3.02
Yashkul,RU,468747,45.34,46.17,6.4,81,64,4.97
Amboasary,MG,1081790,46.38,-25.04,25.0,83,40,1.0
Salcininkai,LT,595016,25.38,54.3,3.33,50,0,2.6
Manono,CD,209598,27.4,-7.3,24.4,87,20,2.67
Khandyga,RU,2022773,135.58,62.65,2.7,51,0,2.47
Marawi,PH,1701054,124.29,8.0,27.78,81,8,3.58
Aberdeen,US,5225857,-98.49,45.47,2.22,74,90,3.6
Jardim,BR,3460087,-56.15,-21.48,23.2,99,92,3.12
Kohlu,PK,1173464,69.25,29.9,30.3,24,24,1.72
Rio Grande,BR,3451138,-52.1,-32.03,21.4,99,88,2.87
Chumikan,RU,2025256,135.31,54.72,2.35,59,48,0.87
Rio Gallegos,AR,3838859,-69.22,-51.62,6.0,56,0,9.3
